¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
117,1043»O»È¥ÁÅv,71.80,0,1000,,118,1043»O»È¥ÁÅv,72.00,1000,0 
119,1043»O»È¥ÁÅv,72.10,1000,0,,120,1043»O»È¥ÁÅv,72.20,1000,0 
121,1043»O»È¥ÁÅv,72.40,1000,0,,122,1043»O»È¥ÁÅv,72.50,1000,0 
123,1045»O»È·s¦Ë,69.90,1000,0,,124,1045»O»È·s¦Ë,71.60,1000,0 
125,104A»O»È»O¤¤,69.50,0,1000,,126,104A»O»È»O¤¤,69.80,0,2000 
127,104A»O»È»O¤¤,70.00,0,1000,,128,104A»O»È»O¤¤,71.00,2000,0 
129,104A»O»È»O¤¤,71.60,1000,0,,130,104A»O»È»O¤¤,71.70,1000,2000 
131,104A»O»È»O¤¤,71.80,0,1000,,132,104A»O»È»O¤¤,72.00,7000,0 
133,104A»O»È»O¤¤,72.20,2000,0,,134,104A»O»È»O¤¤,72.40,0,1000 
135,104A»O»È»O¤¤,72.60,2000,0,,136,104A»O»È»O¤¤,72.80,1000,0 
137,104A»O»È»O¤¤,73.10,0,1000,,138,104C»O»È°ª¶¯,71.90,0,1000 
139,104C»O»È°ª¶¯,72.50,1000,1000,,140,104D»O»Èª÷¤s,69.50,1000,0 
141,104D»O»Èª÷¤s,69.90,0,1000,,142,104D»O»Èª÷¤s,70.10,0,2000 
143,104D»O»Èª÷¤s,70.20,0,2000,,144,104D»O»Èª÷¤s,71.40,1000,0 
145,104D»O»Èª÷¤s,71.60,0,1000,,146,104D»O»Èª÷¤s,71.80,4000,1000 
147,104D»O»Èª÷¤s,71.90,2000,0,,148,104D»O»Èª÷¤s,72.10,0,2000 
149,104D»O»Èª÷¤s,72.20,1000,2000,,150,104D»O»Èª÷¤s,72.30,0,1000 
151,104D»O»Èª÷¤s,72.40,3000,1000,,152,104D»O»Èª÷¤s,72.80,1000,0 
